Class.Attribute	Code	Level	Text
DigitalIdentityRules.X509SUBJECTNAME_SPACENEXTTO_EQUAL	DigitalIdentityRules.X509SUBJECTNAME_SPACENEXTTO_EQUAL	WARNING	The string representation of a subject name should not include white spaces next to '=' characters, according to RFC 4514.
DigitalIdentityRules.X509SUBJECTNAME_AS_IN_OTHER_X509CERTS	DigitalIdentityRules.X509SUBJECTNAME_AS_IN_OTHER_X509CERTS	ERROR	Any X509SubjectName element shall contain a value equal to the SubjectName of a certificate present in the ServiceDigitalIdentity parent component.
DigitalIdentityRules.X509SUBJECTNAME_DIFFERENT_FROM_OTHER_X509CERTS	DigitalIdentityRules.X509SUBJECTNAME_DIFFERENT_FROM_OTHER_X509CERTS	WARNING	Any X509SubjectName element shall contain a value equal to the subject name of a certificate present in the ServiceDigitalIdentity parent element.A new SubjectName has been found within a X509SubjectName in the Service Digital Identity, different from other(s) found so far. However this may be due to the fact that the conversion of DNs to String is not canonical. Users are kindly asked to review the X509SubjectName and certificate according to the details given here.
DigitalIdentityRules.NO_X059CERTIFICATE_IN_HISTORICAL	DigitalIdentityRules.NO_X059CERTIFICATE_IN_HISTORICAL	ERROR	The X509Certificate component must not appear in the historical section of a service.
DigitalIdentityRules.DSKEYVALUE_HASPUBLICKEY	DigitalIdentityRules.DSKEYVALUE_HASPUBLICKEY	ERROR	The ds:KeyValue must contain the value of a public key.
DigitalIdentityRules.ONE_X509_CERT_EXPIRED_GRANT_OR_REC_NAT_LEVEL	DigitalIdentityRules.ONE_X509_CERT_EXPIRED_GRANT_OR_REC_NAT_LEVEL	INFO	This X509 certificate is expired and does appear within one digital identity component present in a section of a service whose status is  granted or recognised at national level.
DigitalIdentityRules.ALL_X509_CERTS_EXPIRED_GRANT_OR_REC_NAT_LEVEL	DigitalIdentityRules.ALL_X509_CERTS_EXPIRED_GRANT_OR_REC_NAT_LEVEL	INFO	Please note that all X509 certificates found in the digital identity component are expired while the status of the service is $A1. It is advised to check whether a new certificate should be added or the service status changed.
IntegrableTLCCRules.INDEX_OUT_OF_BOUNDS	IntegrableTLCCRules.INDEX_OUT_OF_BOUNDS	ERROR	Index for $A1 is out of range. There are not so many $A2 in the TL.
LangAttributedRules.LANG_ATTR_ONE_OF_ALLOWED	LangAttributedRules.LANG_ATTR_ONE_OF_ALLOWED	ERROR	The value of the xml:lang attribute of $A1 is one of the values for European languages specified in IETF RFC 5646 and in clause E.1 of ETSI TS 119 612.
LangAttributedRules.LANG_ATTR_SHOULD_LOWER_CASE	LangAttributedRules.LANG_ATTR_SHOULD_LOWER_CASE	WARNING	The value of the xml:lang attribute of $A1 should be one of the values for European languages in lower letters.
LangAttributedRules.LANG_ATTR_ONE_SHALL_BE_EN	LangAttributedRules.LANG_ATTR_ONE_SHALL_BE_EN	ERROR	The value of the xml:lang attribute of one of the $A1 elements shall be 'en'.
LangAttributedRules.LANG_ATTR_SHOULD_EN_LOWER_CASE	LangAttributedRules.LANG_ATTR_SHOULD_EN_LOWER_CASE	WARNING	The value of the xml:lang attribute of one of the $A1 elements should be 'en' (in lower letters).
SchemeInformationRules.TSL_TAG	SchemeInformationRules.TSL_TAG	ERROR	TSLtag MUST be http://uri.etsi.org/19612/TSLTag
SchemeInformationRules.SCHI_VI_VALUE_AS_SPEC	SchemeInformationRules.SCHI_VI_VALUE_AS_SPEC	ERROR	TSLVersionIdentifier MUST be 5.
SchemeInformationRules.SCHI_SEQNUM_EQ_GREATER_THAN_1	SchemeInformationRules.SCHI_SEQNUM_EQ_GREATER_THAN_1	ERROR	Component TSLSequenceNumber MUST be equal or greater than 1.
SchemeInformationRules.SCHI_EN_SCHNAME_AS_SPECIFIED	SchemeInformationRules.SCHI_EN_SCHNAME_AS_SPECIFIED	ERROR	The English SchemeName value for an EUMS TL or for the EC List of Trusted Lists MUST be as specified in COMMISSION IMPLEMENTING DECISION (EU) 2015/1505.
SchemeInformationRules.TS_SCHI_SCHT_ONE_OF_EUMS_CCODES	SchemeInformationRules.TS_SCHI_SCHT_ONE_OF_EUMS_CCODES	ERROR	For an EUMS Trusted List the SchemeTerritory value MUST be the country code of one of the EU member States.
SchemeInformationRules.TS_SCHI_SCHT_EU_FOR_ECLOL	SchemeInformationRules.TS_SCHI_SCHT_EU_FOR_ECLOL	ERROR	For the EC List of Trusted Lists the SchemeTerritory value MUST be "EU".
SchemeInformationRules.TS_SCHI_SCHT_OTHER_FOR_NEUMS_NECLOL	SchemeInformationRules.TS_SCHI_SCHT_OTHER_FOR_NEUMS_NECLOL	ERROR	For a list that is neither the EC List of Trusted Lists or one of the EUMS Trusted Lists, the SchemeTerritory value MUST NOT be neither "EU" nor none of the codes of the EUMS.
SchemeInformationRules.TS_SCHI_NEXTUP_LISTISSUE	SchemeInformationRules.TS_SCHI_NEXTUP_LISTISSUE	ERROR	The difference between NextUpdate and List Issue Date and Time MUST not exceed 6 months
SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_EQUAL_TO_SCHT	SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_EQUAL_TO_SCHT	ERROR	The two first characters of $A1 of $A2 MUST be equal to the code in $A3 element
SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_EQUAL_TO_SCHT_LOWERCASE	SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_EQUAL_TO_SCHT_LOWERCASE	WARNING	The two first characters of $A1 of $A2 MUST be equal to the code in $A3 element. They are if case is ignored
SchemeInformationRules.TS_SCHI_SCHN_SECOND_PART_VALUE_AS_SPECIFIED	SchemeInformationRules.TS_SCHI_SCHN_SECOND_PART_VALUE_AS_SPECIFIED	ERROR	The second part of the English $A1 child of $A2 MUST be as specified in CID 2015/1505
SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_NOT_FROM_EU	SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_NOT_FROM_EU	ERROR	The two first characters of $A1 of $A2 MUST be equal to the code in $A3 element. The TSLType indicates that the TL is neither an EUMS TL nor the EC list of Trusted Lists
SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_NOT_FROM_EU_LOWERCASE	SchemeInformationRules.TS_SCHI_SCHN_TWO_FIRTST_CHARACTERS_NOT_FROM_EU_LOWERCASE	WARNING	The two first characters of $A1 of $A2 MUST be equal to the code in $A3 element. The TSLType indicates that the TL is neither an EUMS TL nor the EC list of Trusted Lists
SchemeInformationRules.TS_SCHI_SCHN_SECOND_PART_VALUE_NOT_FROM_EU	SchemeInformationRules.TS_SCHI_SCHN_SECOND_PART_VALUE_NOT_FROM_EU	ERROR	The second part of the English $A1 child of $A2 MUST NOT be as specified in CID 2015/1505
SchemeInformationRules.TS_SCHI_SCHN_SECOND_PART_VALUE_NOT_FROM_EU_WARNING	SchemeInformationRules.TS_SCHI_SCHN_SECOND_PART_VALUE_NOT_FROM_EU_WARNING	WARNING	The second part of the English $A1 child of $A2 MUST NOT be as specified in CID 2015/1505
SchemeInformationRules.SCHI_STCR_EUMS_COMMON_URI_PRESENT	SchemeInformationRules.SCHI_STCR_EUMS_COMMON_URI_PRESENT	ERROR	 For an EUMS TL the SchemeTypeCommunityRules must contain one URI child whose value is "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/EUcommon".
SchemeInformationRules.SCHI_STCR_EUMS_CC_URI_PRESENT	SchemeInformationRules.SCHI_STCR_EUMS_CC_URI_PRESENT	ERROR	 For an EUMS TL the SchemeTypeCommunityRules must contain the URI "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/CC" where CC is the territory indicated within the SchemeTerritory component.
SchemeInformationRules.SCHI_STCR_URIS_FOR_EUMS	SchemeInformationRules.SCHI_STCR_URIS_FOR_EUMS	ERROR	 For an EUMS TL there MUST be 2 URIs at least, in SchemeTypeCommunityRules, namely: "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/EUcommon" and "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/"
SchemeInformationRules.SCHI_STCR_URI_FOR_EUMS_CC	SchemeInformationRules.SCHI_STCR_URI_FOR_EUMS_CC	ERROR	 For an EUMS TL the other legal URI value, apart from the common one, may be either "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/CC" (where CC is the value of SchemeTerritory component) or any URI descendant from this value.
SchemeInformationRules.SCHI_STCR_URI_EUMS_VAL_EN	SchemeInformationRules.SCHI_STCR_URI_EUMS_VAL_EN	ERROR	 In an EUMS TL the multilingual element corresponding to the common URI reference "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/EUcommon" MUST have its xml:lang attribute set to value "en".
SchemeInformationRules.SCHI_STCR_URI_ECLOL_VAL_EN	SchemeInformationRules.SCHI_STCR_URI_ECLOL_VAL_EN	ERROR	 In the EC List of Trusted Lists the multilingual element corresponding to the URI reference "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/EUlistofthelists" MUST have its xml:lang attribute set to value "en".
SchemeInformationRules.SCHI_STCR_URI_EUMS_VAL_EN_LOWERCASE	SchemeInformationRules.SCHI_STCR_URI_EUMS_VAL_EN_LOWERCASE	WAR	 In an EUMS TL the multilingual element corresponding to the common URI reference value SHOULD have its xml:lang attribute set to value "en" in lower cases.
SchemeInformationRules.SCHI_STCR_URI_ECLOL_VAL_EN_LOWERCASE	SchemeInformationRules.SCHI_STCR_URI_ECLOL_VAL_EN_LOWERCASE	WAR	 In the EC List of Trusted Lists the multilingual element corresponding to the URI reference "http://uri.etsi.org/TrstSvc/TrustedList/schemerules/EUlistofthelists" SHOULD have its xml:lang attribute set to value "en" in lower cases.
SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_EUMS	SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_EUMS	ERROR	The "TSLLegalNotice" component's value is the mandatory value for an EUMS List as specified in the Official Journal of the European Union.
SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_EN_LANG	SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_EN_LANG	ERROR	The "TSLLegalNotice" component whose value is the mandatory value for this type of list as specified in the Official Journal of the European Union, must have its xml:lang attribute set to "en".
SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_EN_LANG_LOW_CASE	SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_EN_LANG_LOW_CASE	WARNING	The "TSLLegalNotice" component whose value is the mandatory value for this type of list as specified in the Official Journal of the European Union, should have its xml:lang attribute set to "en" in lower cases.
SchemeInformationRules.SCHI_LEGAL_NOTICE_OTHERVAL_EUMS	SchemeInformationRules.SCHI_LEGAL_NOTICE_OTHERVAL_EUMS	ERROR	The "TSLLegalNotice" component's value is either the translation to the national language of the mandatory text, or the optional value for an EUMS List as specified in the Official Journal of the European Union.
SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_ECLOL	SchemeInformationRules.SCHI_LEGAL_NOTICE_MAND_VAL_ECLOL	ERROR	The value of one of the "TSLLegalNotice" components must be the mandatory value for the EC List of Trusted Lists.
SchemeInformationRules.SCHI_LEGAL_NOTICE_NONEUL	SchemeInformationRules.SCHI_LEGAL_NOTICE_NONEUL	ERROR	The "TSLLegalNotice" component's value for a non EU list is none of the values specified for EUMS nor the value specified for the EC LoL.
SchemeInformationRules.SCHI_TSLPOLICY_EUMSL_OR_ECLOL	SchemeInformationRules.SCHI_TSLPOLICY_EUMSL_OR_ECLOL	ERROR	The "TSLPolicy" component component MUST not be present neither in an EUMS list nor in the EC LoL.
SchemeInformationRules.SCHI_HISTPERIOD_VAL	SchemeInformationRules.SCHI_HISTPERIOD_VAL	ERROR	The "HistoricalInformationPeriod" component MUST have the value "65535".
SchemeInformationRules.EUMS_TL_PTRONE_POINTS_TO_ECLOL_XML	SchemeInformationRules.EUMS_TL_PTRONE_POINTS_TO_ECLOL_XML	ERROR	In an EUMS TL the OtherTSLPointer child points to the XML EC list of Trusted Lists.
SchemeInformationRules.EUMS_TL_PTR_TSLTYPE_IN_PTR_TO_ECLOL	SchemeInformationRules.EUMS_TL_PTR_TSLTYPE_IN_PTR_TO_ECLOL	ERROR	For an EUMS TL, within a pointer pointing to the XML EC LOTL the TSLType of AdditionalInformation in OtherPointerTSL MUST BE "http://uri.etsi.org/TrstSvc/TrustedList/TSLType/EUlistofthelists".
SchemeInformationRules.ECLOL_TL_PTR_TSLTYPE_IN_PTR_TO_ECLOL	SchemeInformationRules.ECLOL_TL_PTR_TSLTYPE_IN_PTR_TO_ECLOL	ERROR	For EC list of Trusted Lists the TSLType of AdditionalInformation in one of the pointers in OtherPointerTSL MUST BE "http://uri.etsi.org/TrstSvc/TrustedList/TSLType/EUlistofthelists".
SchemeInformationRules.ECLOL_TL_PTR_TSLTYPE_IN_PTR_TO_EUMS_TL	SchemeInformationRules.ECLOL_TL_PTR_TSLTYPE_IN_PTR_TO_EUMS_TL	ERROR	For EC list of Trusted Lists the TSLType of AdditionalInformation in all but one of the pointers in OtherPointerTSL MUST BE "http://uri.etsi.org/TrstSvc/TrustedList/TSLType/EUgeneric".
SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_ECLOL	SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_ECLOL	ERROR	The value of an SchemeTerritory child of AdditionalInformation child of one OtherPointerTSL pointing to the EC list of Trusted Lists MUST be "EU".
SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_EUMS_TL	SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_EUMS_TL	ERROR	The value of an SchemeTerritory child of AdditionalInformation child of one OtherPointerTSL pointing to an EUMS TL MUST be the country code of an EUMS
SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_ECLOL_LOWER_CASE	SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_ECLOL_LOWER_CASE	WARNING	The value of an SchemeTerritory child of AdditionalInformation child of one OtherPointerTSL pointing to the EC list of Trusted Lists SHOULD be "EU".
SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_EUMS_TL_LOWER_CASE	SchemeInformationRules.PTR_SCHTERR_IN_PTR_TO_EUMS_TL_LOWER_CASE	WARNING	The value of an SchemeTerritory child of AdditionalInformation child of one OtherPointerTSL pointing to a EUMS TL SHOULD be the country code of an EUMS in lower case.
SchemeInformationRules.EUMS_TL_PTR_EC_CERTIFICATE_IN_PTR_TO_ECLOL_XML	SchemeInformationRules.EUMS_TL_PTR_EC_CERTIFICATE_IN_PTR_TO_ECLOL_XML	ERROR	The certificate in the Pointer to the XML list of lists MUST be the signing certificate for that list as published by the EC.
SchemeInformationRules.EUMS_TL_PTR_ALL_EC_CERTIFICATES_IN_PTR_TO_ECLOL_XML	SchemeInformationRules.EUMS_TL_PTR_ALL_EC_CERTIFICATES_IN_PTR_TO_ECLOL_XML	ERROR	The Pointer to the XML list of lists MUST contain all the potential signing certificates for that list as published by the EC.
SchemeInformationRules.ECLOL_ONE_PTR_TO_ECLOL	SchemeInformationRules.ECLOL_ONE_PTR_TO_ECLOL	ERROR	For EC list of Trusted Lists there MUST BE one pointer pointing to the XML EC list of Trusted Lists itself.
SchemeInformationRules.ECLOL_ONE_PTR_TO_EACH_EUMS_TL	SchemeInformationRules.ECLOL_ONE_PTR_TO_EACH_EUMS_TL	ERROR	For EC list of Trusted Lists there MUST BE one pointer pointing to each EUMS TL.
ServiceInfoExtensionsRules.SVC_EXPCERT_REVINFO_SVC_TYPE	ServiceInfoExtensionsRules.SVC_EXPCERT_REVINFO_SVC_TYPE	ERROR	The ExpiredCertsRevocationInfo Extension MUST be applied to one of the following services: CA (PKC), CA (QC), NationalRootCA-QC, Certificate Status (OCSP and OCSP/QC), Certificate status (CRL and CRL/Q).
ServiceInfoExtensionsRules.SVC_QUALIFS_QUALIFIER_VALUE	ServiceInfoExtensionsRules.SVC_QUALIFS_QUALIFIER_VALUE	ERROR	The value of Qualifier element MUST be one of the set defined for this component.
ServiceInfoExtensionsRules.SVC_QUALIFICATION_CRITERIALIST_WITH_SOME_CRITERIA	ServiceInfoExtensionsRules.SVC_QUALIFICATION_CRITERIALIST_WITH_SOME_CRITERIA	ERROR	The CriteriaList component MUST contain some other child than Description (it MUST contain some criteria).
ServiceInfoExtensionsRules.SVC_QUALIFS_KEYUSAGEBIT_NAME_VALUE	ServiceInfoExtensionsRules.SVC_QUALIFS_KEYUSAGEBIT_NAME_VALUE	ERROR	The value of the name attribute of KeyUsageBit element MUST be one of the set defined by ETSI TS 119 612 v2.1.1.
ServiceInfoExtensionsRules.SVC_POLID_ID_URN_QUAL	ServiceInfoExtensionsRules.SVC_POLID_ID_URN_QUAL	ERROR	When Qualifier attribute has the value OIDAsURN then the value of the Identifier MUST be an URN as specified in IETF RFC 3061.
ServiceInfoExtensionsRules.SVC_TAKENOVER_URI_SCH_AUTH	ServiceInfoExtensionsRules.SVC_TAKENOVER_URI_SCH_AUTH	WARNING	The scheme and authority of the URI element in the TakenOverBy Extension SHOULD BE equal to the scheme and authority of one the following URIS: the URI within the ElectronicAddress of the taking over TSP, the TSPInformationURI of the taking over TSP, the URI within the ElectronicAddress of the Trusted List Scheme Operator, or the SchemeInformationURI of the Trusted List Scheme.
ServiceInfoExtensionsRules.SVC_TAKENOVER_SCHOPNAME	ServiceInfoExtensionsRules.SVC_TAKENOVER_SCHOPNAME	ERROR	The English part of SchemeOperatorName component of TakenOverBy extension MUST be equal to the English part of SchemeOperatorName in the SchemeInformation section of the Trusted List.
ServiceInfoExtensionsRules.SVC_TAKENOVER_SCHOPNAME_IGNORE_CASE	ServiceInfoExtensionsRules.SVC_TAKENOVER_SCHOPNAME_IGNORE_CASE	WARNING	The English part of SchemeOperatorName component of TakenOverBy extension SHOULD be equal to the English part of SchemeOperatorName in the SchemeInformation section of the Trusted List. Differences in cases of some letters have been found
ServiceInfoExtensionsRules.SVC_TAKENOVER_TSPNAME	ServiceInfoExtensionsRules.SVC_TAKENOVER_TSPNAME	ERROR	The English part of TSPName component of TakenOverBy extension MUST be equal to the English part of the TSPName of one of the TSPs listed in the Trusted List.
ServiceInfoExtensionsRules.SVC_TAKENOVER_TSPNAME_IGNORE_CASE	ServiceInfoExtensionsRules.SVC_TAKENOVER_TSPNAME_IGNORE_CASE	WARNING	The English part of TSPName component of TakenOverBy extension SHOULD be equal to the English part of the TSPName of one of the TSPs listed in the Trusted List. Differences in cases of some letters have been found
SignatureRules.SIG_NOAPACHE_FW	SignatureRules.SIG_NOAPACHE_FW	ERROR	The TL Conformance Checker has not been able to build up the Apache XML Signature element. It will not be possible to check which is the signing certificate and to conduct the cryptographic check of the digital signature value.
SignatureRules.SIG_REFURI	SignatureRules.SIG_REFURI	WARNING	One of the ds:Reference elements MUST have an URI set to a value referencing the TrustServiceStatusList that envelopes the signature.
SignatureRules.SIG_ONE_TRANSFORMS	SignatureRules.SIG_ONE_TRANSFORMS	WARNING	he ds:Reference element referencing the enveloping TrustServiceStatusList MUST contain only ONE ds:Transforms element.
SignatureRules.SIG_TRANSFORMS_TWO_CHILDREN	SignatureRules.SIG_TRANSFORMS_TWO_CHILDREN	WARNING	The ds:Transforms child of the ds:Reference element referencing the enveloping TrustServiceStatusList MUST contain TWO ds:Transform elements.
SignatureRules.SIG_TRANSFORM_1	SignatureRules.SIG_TRANSFORM_1	WARNING	The first ds:Transforms child of the ds:Reference element referencing the enveloping TrustServiceStatusList MUST have the Algorithm attribute set to: 'http://www.w3.org/2000/09/xmldsig#enveloped-signature'.
SignatureRules.SIG_TRANSFORM_2	SignatureRules.SIG_TRANSFORM_2	WARNING	The second ds:Transforms child of the ds:Reference element referencing the enveloping TrustServiceStatusList MUST have the Algorithm attribute set to: 'http://www.w3.org/2001/10/xml-exc-c14n'.
SignatureRules.SIG_CANON_ALG	SignatureRules.SIG_CANON_ALG	ERROR	The canonicalization MUST be set to: 'http://www.w3.org/2001/10/xml-exc-c14n'.
SignatureRules.SIG_KEYINFO_ONE_X509CERT	SignatureRules.SIG_KEYINFO_ONE_X509CERT	WARNING	The ds:KeyInfo MUST have only ONE X509Certificate component.
SignatureRules.SIG_KEYINFO_CONTAINS_SIGNINGCERT	SignatureRules.SIG_KEYINFO_CONTAINS_SIGNINGCERT	ERROR	The ds:KeyInfo MUST contain the signing certificate.
SignatureRules.SIG_CRYPTO_VERIFICATION_OK	SignatureRules.SIG_CRYPTO_VERIFICATION_OK	ERROR	The crytpographic verification of ds:SignatureValue with the public key within the signing certificate MUST succeed.
SignatureRules.SIG_SIGNING_CERT_PROTECTED	SignatureRules.SIG_SIGNING_CERT_PROTECTED	ERROR	The signing certificate MUST be protected by the signature.
